,Date,Open,High,Low,Close,Adj Close,Volume,Profit
0,918075600.0,2496.48999,2496.52002,2409.98999,2410.070068,2410.070068,1099190000,0
1,918162000.0,2419.929932,2421.429932,2346.820068,2373.6201170000004,2373.6201170000004,1013740000,0
2,918421200.0,2405.310059,2414.97998,2358.050049,2404.919922,2404.919922,881780000,0
3,918507600.0,2403.949951,2403.949951,2310.639893,2310.790039,2310.790039,909780000,0
4,918594000.0,2304.25,2338.149902,2289.899902,2309.5,2309.5,915620000,1
5,918680400.0,2339.02002,2405.76001,2326.189941,2405.550049,2405.550049,961760000,1
6,918766800.0,2375.98999,2379.0,2319.73999,2321.889893,2321.889893,837560000,0
7,919112400.0,2361.219971,2368.409912,2300.52002,2313.8701170000004,2313.8701170000004,819240000,0
8,919198800.0,2277.580078,2304.719971,2242.27002,2248.909912,2248.909912,902780000,0
9,919285200.0,2269.030029,2273.080078,2224.209961,2260.550049,2260.550049,859910000,0
10,919371600.0,2276.610107,2291.409912,2260.550049,2283.600098,2283.600098,813480000,1
11,919630800.0,2293.330078,2342.409912,2275.600098,2342.01001,2342.01001,843510000,1
12,919717200.0,2360.679932,2386.47998,2342.01001,2376.350098,2376.350098,912110000,1
13,919803600.0,2389.75,2405.290039,2338.899902,2339.3798829999996,2339.3798829999996,931090000,0
14,919890000.0,2329.389893,2339.3798829999996,2286.909912,2326.820068,2326.820068,858700000,0
15,919976400.0,2320.48999,2326.820068,2277.179932,2288.030029,2288.030029,901170000,0
16,920235600.0,2286.830078,2300.820068,2264.320068,2295.179932,2295.179932,770800000,1
17,920322000.0,2303.6201170000004,2317.570068,2257.070068,2259.030029,2259.030029,894020000,0
18,920408400.0,2274.040039,2280.969971,2235.189941,2265.199951,2265.199951,864380000,0
19,920494800.0,2286.290039,2311.179932,2250.6298829999996,2292.889893,2292.889893,889430000,1
20,920581200.0,2329.580078,2339.209961,2292.889893,2337.110107,2337.110107,859200000,1
21,920840400.0,2357.320068,2398.189941,2353.73999,2397.6201170000004,2397.6201170000004,970750000,1
22,920926800.0,2396.52002,2433.3701170000004,2385.52002,2392.939941,2392.939941,1032900000,0
23,921013200.0,2407.100098,2408.949951,2378.810059,2406.0,2406.0,936670000,0
24,921099600.0,2419.1201170000004,2437.389893,2391.550049,2412.25,2412.25,1033580000,0
25,921186000.0,2411.47998,2412.25,2362.8701170000004,2381.530029,2381.530029,918410000,0
26,921445200.0,2392.540039,2431.449951,2375.830078,2431.439941,2431.439941,851480000,1
27,921531600.0,2437.97998,2450.01001,2423.810059,2439.27002,2439.27002,977210000,1
28,921618000.0,2440.219971,2441.719971,2419.850098,2428.969971,2428.969971,854320000,0
29,921704400.0,2425.360107,2463.01001,2423.540039,2462.959961,2462.959961,937430000,1
30,921790800.0,2480.389893,2480.6298829999996,2420.209961,2421.27002,2421.27002,1054880000,0
31,922050000.0,2428.389893,2430.850098,2395.290039,2395.939941,2395.939941,874200000,0
32,922136400.0,2388.040039,2395.939941,2319.959961,2322.840088,2322.840088,976000000,0
33,922222800.0,2326.6298829999996,2365.350098,2305.639893,2365.280029,2365.280029,856520000,1
34,922309200.0,2399.719971,2434.889893,2399.719971,2434.800049,2434.800049,939490000,1
35,922395600.0,2425.050049,2445.719971,2410.459961,2419.169922,2419.169922,831140000,0
36,922651200.0,2442.590088,2492.840088,2419.169922,2492.840088,2492.840088,876200000,1
37,922737600.0,2492.169922,2506.790039,2477.6201170000004,2480.290039,2480.290039,896110000,0
38,922824000.0,2508.340088,2520.6298829999996,2458.77002,2461.399902,2461.399902,1101200000,0
39,922910400.0,2493.070068,2502.459961,2460.23999,2493.3701170000004,2493.3701170000004,848680000,1
40,923256000.0,2523.97998,2560.100098,2515.699951,2560.060059,2560.060059,977920000,1
41,923342400.0,2555.47998,2582.3701170000004,2544.040039,2563.169922,2563.169922,1113990000,1
42,923428800.0,2594.780029,2596.25,2511.389893,2544.429932,2544.429932,1272750000,0
43,923515200.0,2553.449951,2573.969971,2514.27002,2573.389893,2573.389893,1145880000,1
44,923601600.0,2574.97998,2599.199951,2561.51001,2593.050049,2593.050049,1091380000,1
45,923860800.0,2530.98999,2606.23999,2526.840088,2598.810059,2598.810059,1143330000,1
46,923947200.0,2626.850098,2632.51001,2575.050049,2583.5,2583.5,1341700000,0
47,924033600.0,2621.52002,2628.189941,2507.280029,2507.280029,2507.280029,1416190000,0
48,924120000.0,2535.189941,2536.340088,2443.02002,2521.77002,2521.77002,1233960000,0
49,924206400.0,2528.51001,2528.51001,2476.929932,2484.040039,2484.040039,1027070000,0
50,924465600.0,2501.709961,2501.709961,2341.350098,2345.610107,2345.610107,1200990000,0
51,924552000.0,2355.26001,2409.780029,2329.8701170000004,2409.639893,2409.639893,1143740000,1
52,924638400.0,2428.889893,2489.840088,2404.709961,2489.080078,2489.080078,1125280000,1
53,924724800.0,2551.1298829999996,2561.790039,2525.26001,2561.610107,2561.610107,1110460000,1
54,924811200.0,2563.8701170000004,2603.100098,2538.0,2590.689941,2590.689941,1049670000,1
55,925070400.0,2617.090088,2661.51001,2615.72998,2652.050049,2652.050049,1050470000,1
56,925156800.0,2671.570068,2677.76001,2602.1298829999996,2602.409912,2602.409912,1132010000,0
57,925243200.0,2601.1298829999996,2610.909912,2544.899902,2550.3701170000004,2550.3701170000004,1000820000,0
58,925329600.0,2544.929932,2553.100098,2500.75,2528.439941,2528.439941,1005650000,0
59,925416000.0,2565.8701170000004,2578.060059,2488.399902,2542.860107,2542.860107,994460000,0
60,925675200.0,2546.330078,2549.100098,2512.3701170000004,2535.580078,2535.580078,866010000,0
61,925761600.0,2535.810059,2557.209961,2482.48999,2485.1201170000004,2485.1201170000004,921730000,0
62,925848000.0,2498.149902,2534.449951,2430.649902,2534.449951,2534.449951,1038730000,1
63,925934400.0,2532.409912,2546.360107,2464.570068,2472.280029,2472.280029,909640000,0
64,926020800.0,2499.530029,2507.719971,2462.27002,2503.6201170000004,2503.6201170000004,867050000,1
65,926280000.0,2516.840088,2536.110107,2500.73999,2526.389893,2526.389893,831130000,1
